PORT_ID,DEVICE_ID,PORT_NAME,SPEED_GBPS,OPER_STATE,ADMIN_STATE,OPTIC_TYPE,OPTIC_TEMP_C
port:mx304-03:xe-0/1/7,dev:mx304-03,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-04:et-0/0/0,dev:mx304-04,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-04:et-0/0/1,dev:mx304-04,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-04:et-0/0/2,dev:mx304-04,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-04:et-0/0/3,dev:mx304-04,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-04:xe-0/1/0,dev:mx304-04,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/1,dev:mx304-04,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/2,dev:mx304-04,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/3,dev:mx304-04,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/4,dev:mx304-04,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/5,dev:mx304-04,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/6,dev:mx304-04,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-04:xe-0/1/7,dev:mx304-04,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-05:et-0/0/0,dev:mx304-05,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-05:et-0/0/1,dev:mx304-05,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-05:et-0/0/2,dev:mx304-05,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-05:et-0/0/3,dev:mx304-05,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-05:xe-0/1/0,dev:mx304-05,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/1,dev:mx304-05,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/2,dev:mx304-05,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/3,dev:mx304-05,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/4,dev:mx304-05,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/5,dev:mx304-05,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/6,dev:mx304-05,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-05:xe-0/1/7,dev:mx304-05,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-06:et-0/0/0,dev:mx304-06,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-06:et-0/0/1,dev:mx304-06,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-06:et-0/0/2,dev:mx304-06,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-06:et-0/0/3,dev:mx304-06,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-06:xe-0/1/0,dev:mx304-06,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/1,dev:mx304-06,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/2,dev:mx304-06,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/3,dev:mx304-06,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/4,dev:mx304-06,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/5,dev:mx304-06,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/6,dev:mx304-06,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-06:xe-0/1/7,dev:mx304-06,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-07:et-0/0/0,dev:mx304-07,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-07:et-0/0/1,dev:mx304-07,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-07:et-0/0/2,dev:mx304-07,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-07:et-0/0/3,dev:mx304-07,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-07:xe-0/1/0,dev:mx304-07,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/1,dev:mx304-07,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/2,dev:mx304-07,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/3,dev:mx304-07,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/4,dev:mx304-07,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/5,dev:mx304-07,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/6,dev:mx304-07,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-07:xe-0/1/7,dev:mx304-07,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-08:et-0/0/0,dev:mx304-08,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-08:et-0/0/1,dev:mx304-08,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-08:et-0/0/2,dev:mx304-08,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-08:et-0/0/3,dev:mx304-08,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-08:xe-0/1/0,dev:mx304-08,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/1,dev:mx304-08,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/2,dev:mx304-08,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/3,dev:mx304-08,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/4,dev:mx304-08,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/5,dev:mx304-08,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/6,dev:mx304-08,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-08:xe-0/1/7,dev:mx304-08,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-09:et-0/0/0,dev:mx304-09,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-09:et-0/0/1,dev:mx304-09,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-09:et-0/0/2,dev:mx304-09,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-09:et-0/0/3,dev:mx304-09,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-09:xe-0/1/0,dev:mx304-09,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/1,dev:mx304-09,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/2,dev:mx304-09,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/3,dev:mx304-09,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/4,dev:mx304-09,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/5,dev:mx304-09,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/6,dev:mx304-09,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-09:xe-0/1/7,dev:mx304-09,xe-0/1/7,10,up,up,10G-SR,38.5
port:acx-gldt-a:et-0/0/0,dev:acx-gldt-a,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-gldt-a:et-0/0/1,dev:acx-gldt-a,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-gldt-a:xe-0/0/0,dev:acx-gldt-a,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-gldt-a:xe-0/0/1,dev:acx-gldt-a,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-gldt-a:xe-0/0/2,dev:acx-gldt-a,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-gldt-a:xe-0/0/3,dev:acx-gldt-a,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-sang-a:et-0/0/0,dev:acx-sang-a,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-sang-a:et-0/0/1,dev:acx-sang-a,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-sang-a:xe-0/0/0,dev:acx-sang-a,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-sang-a:xe-0/0/1,dev:acx-sang-a,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-sang-a:xe-0/0/2,dev:acx-sang-a,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-sang-a:xe-0/0/3,dev:acx-sang-a,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-03:et-0/0/0,dev:acx-03,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-03:et-0/0/1,dev:acx-03,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-03:xe-0/0/0,dev:acx-03,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-03:xe-0/0/1,dev:acx-03,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-03:xe-0/0/2,dev:acx-03,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-03:xe-0/0/3,dev:acx-03,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-04:et-0/0/0,dev:acx-04,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-04:et-0/0/1,dev:acx-04,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-04:xe-0/0/0,dev:acx-04,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-04:xe-0/0/1,dev:acx-04,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-04:xe-0/0/2,dev:acx-04,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-04:xe-0/0/3,dev:acx-04,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-05:et-0/0/0,dev:acx-05,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-05:et-0/0/1,dev:acx-05,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-05:xe-0/0/0,dev:acx-05,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-05:xe-0/0/1,dev:acx-05,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-05:xe-0/0/2,dev:acx-05,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-05:xe-0/0/3,dev:acx-05,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-06:et-0/0/0,dev:acx-06,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-06:et-0/0/1,dev:acx-06,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-06:xe-0/0/0,dev:acx-06,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-06:xe-0/0/1,dev:acx-06,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-06:xe-0/0/2,dev:acx-06,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-06:xe-0/0/3,dev:acx-06,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-07:et-0/0/0,dev:acx-07,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-07:et-0/0/1,dev:acx-07,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-07:xe-0/0/0,dev:acx-07,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-07:xe-0/0/1,dev:acx-07,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-07:xe-0/0/2,dev:acx-07,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-07:xe-0/0/3,dev:acx-07,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-08:et-0/0/0,dev:acx-08,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-08:et-0/0/1,dev:acx-08,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-08:xe-0/0/0,dev:acx-08,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-08:xe-0/0/1,dev:acx-08,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-08:xe-0/0/2,dev:acx-08,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-08:xe-0/0/3,dev:acx-08,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-09:et-0/0/0,dev:acx-09,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-09:et-0/0/1,dev:acx-09,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-09:xe-0/0/0,dev:acx-09,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-09:xe-0/0/1,dev:acx-09,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-09:xe-0/0/2,dev:acx-09,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-09:xe-0/0/3,dev:acx-09,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-10:et-0/0/0,dev:acx-10,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-10:et-0/0/1,dev:acx-10,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-10:xe-0/0/0,dev:acx-10,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-10:xe-0/0/1,dev:acx-10,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-10:xe-0/0/2,dev:acx-10,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-10:xe-0/0/3,dev:acx-10,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-11:et-0/0/0,dev:acx-11,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-11:et-0/0/1,dev:acx-11,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-11:xe-0/0/0,dev:acx-11,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-11:xe-0/0/1,dev:acx-11,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-11:xe-0/0/2,dev:acx-11,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-11:xe-0/0/3,dev:acx-11,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-12:et-0/0/0,dev:acx-12,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-12:et-0/0/1,dev:acx-12,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-12:xe-0/0/0,dev:acx-12,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-12:xe-0/0/1,dev:acx-12,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-12:xe-0/0/2,dev:acx-12,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-12:xe-0/0/3,dev:acx-12,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-13:et-0/0/0,dev:acx-13,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-13:et-0/0/1,dev:acx-13,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-13:xe-0/0/0,dev:acx-13,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-13:xe-0/0/1,dev:acx-13,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-13:xe-0/0/2,dev:acx-13,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-13:xe-0/0/3,dev:acx-13,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-14:et-0/0/0,dev:acx-14,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-14:et-0/0/1,dev:acx-14,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-14:xe-0/0/0,dev:acx-14,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-14:xe-0/0/1,dev:acx-14,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-14:xe-0/0/2,dev:acx-14,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-14:xe-0/0/3,dev:acx-14,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-15:et-0/0/0,dev:acx-15,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-15:et-0/0/1,dev:acx-15,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-15:xe-0/0/0,dev:acx-15,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-15:xe-0/0/1,dev:acx-15,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-15:xe-0/0/2,dev:acx-15,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-15:xe-0/0/3,dev:acx-15,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-16:et-0/0/0,dev:acx-16,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-16:et-0/0/1,dev:acx-16,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-16:xe-0/0/0,dev:acx-16,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-16:xe-0/0/1,dev:acx-16,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-16:xe-0/0/2,dev:acx-16,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-16:xe-0/0/3,dev:acx-16,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-17:et-0/0/0,dev:acx-17,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-17:et-0/0/1,dev:acx-17,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-17:xe-0/0/0,dev:acx-17,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-17:xe-0/0/1,dev:acx-17,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-17:xe-0/0/2,dev:acx-17,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-17:xe-0/0/3,dev:acx-17,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-18:et-0/0/0,dev:acx-18,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-18:et-0/0/1,dev:acx-18,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-18:xe-0/0/0,dev:acx-18,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-18:xe-0/0/1,dev:acx-18,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-18:xe-0/0/2,dev:acx-18,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-18:xe-0/0/3,dev:acx-18,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-19:et-0/0/0,dev:acx-19,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-19:et-0/0/1,dev:acx-19,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-19:xe-0/0/0,dev:acx-19,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-19:xe-0/0/1,dev:acx-19,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-19:xe-0/0/2,dev:acx-19,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-19:xe-0/0/3,dev:acx-19,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-20:et-0/0/0,dev:acx-20,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-20:et-0/0/1,dev:acx-20,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-20:xe-0/0/0,dev:acx-20,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-20:xe-0/0/1,dev:acx-20,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-20:xe-0/0/2,dev:acx-20,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-20:xe-0/0/3,dev:acx-20,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-21:et-0/0/0,dev:acx-21,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-21:et-0/0/1,dev:acx-21,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-21:xe-0/0/0,dev:acx-21,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-21:xe-0/0/1,dev:acx-21,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-21:xe-0/0/2,dev:acx-21,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-21:xe-0/0/3,dev:acx-21,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-22:et-0/0/0,dev:acx-22,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-22:et-0/0/1,dev:acx-22,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-22:xe-0/0/0,dev:acx-22,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-22:xe-0/0/1,dev:acx-22,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-22:xe-0/0/2,dev:acx-22,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-22:xe-0/0/3,dev:acx-22,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-23:et-0/0/0,dev:acx-23,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-23:et-0/0/1,dev:acx-23,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-23:xe-0/0/0,dev:acx-23,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-23:xe-0/0/1,dev:acx-23,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-23:xe-0/0/2,dev:acx-23,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-23:xe-0/0/3,dev:acx-23,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-24:et-0/0/0,dev:acx-24,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-24:et-0/0/1,dev:acx-24,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-24:xe-0/0/0,dev:acx-24,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-24:xe-0/0/1,dev:acx-24,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-24:xe-0/0/2,dev:acx-24,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-24:xe-0/0/3,dev:acx-24,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-25:et-0/0/0,dev:acx-25,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-25:et-0/0/1,dev:acx-25,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-25:xe-0/0/0,dev:acx-25,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-25:xe-0/0/1,dev:acx-25,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-25:xe-0/0/2,dev:acx-25,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-25:xe-0/0/3,dev:acx-25,xe-0/0/3,10,up,up,10G-SR,38.5
port:acx-26:et-0/0/0,dev:acx-26,et-0/0/0,100,up,up,100G-LR4,38.5
port:acx-26:et-0/0/1,dev:acx-26,et-0/0/1,100,up,up,100G-LR4,38.5
port:acx-26:xe-0/0/0,dev:acx-26,xe-0/0/0,10,up,up,10G-SR,38.5
port:acx-26:xe-0/0/1,dev:acx-26,xe-0/0/1,10,up,up,10G-SR,38.5
port:acx-26:xe-0/0/2,dev:acx-26,xe-0/0/2,10,up,up,10G-SR,38.5
port:acx-26:xe-0/0/3,dev:acx-26,xe-0/0/3,10,up,up,10G-SR,38.5
