DEVICE_ID,DEVICE_NAME,VENDOR,MODEL,ROLE,SITE_ID,MANAGEMENT_IP,SOFTWARE_RELEASE,IS_APPROVED_TRAIN,IS_VERSION_DRIFT_OUTLIER,ACTIVE_DEFECTS_COUNT,DEFECTS_JSON,SERVICES_COUNT,SUBSCRIBERS_COUNT,OPER_STATUS,LAST_AUDITED_AT
dev:acx-24,ACX-24,Juniper,ACX 5448D,access,site:03,10.46.79.126,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954578
dev:acx-25,ACX-25,Juniper,ACX 5448D,access,site:04,10.59.226.194,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954640
dev:acx-26,ACX-26,Juniper,ACX 5448D,access,site:05,10.47.150.176,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954703
dev:acx-27,ACX-27,Juniper,ACX 5448D,access,site:06,10.43.124.96,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954916
dev:acx-28,ACX-28,Juniper,ACX 5448D,access,site:07,10.57.197.56,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955138
dev:acx-29,ACX-29,Juniper,ACX 5448D,access,site:08,10.58.74.77,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955242
dev:acx-30,ACX-30,Juniper,ACX 5448D,access,site:09,10.45.118.26,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955318
dev:acx-31,ACX-31,Juniper,ACX 5448D,access,site:10,10.52.213.7,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955390
dev:acx-32,ACX-32,Juniper,ACX 5448D,access,site:03,10.52.27.71,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955517
dev:acx-33,ACX-33,Juniper,ACX 5448D,access,site:04,10.58.182.69,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955735
dev:acx-34,ACX-34,Juniper,ACX 5448D,access,site:05,10.56.217.137,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955820
dev:acx-35,ACX-35,Juniper,ACX 5448D,access,site:06,10.48.240.55,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955916
dev:acx-36,ACX-36,Juniper,ACX 5448D,access,site:07,10.45.20.113,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.955971
dev:acx-37,ACX-37,Juniper,ACX 5448D,access,site:08,10.44.180.146,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.956082
dev:acx-38,ACX-38,Juniper,ACX 5448D,access,site:09,10.52.234.58,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.956152
dev:acx-39,ACX-39,Juniper,ACX 5448D,access,site:10,10.55.172.238,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.956207
dev:acx-40,ACX-40,Juniper,ACX 5448D,access,site:03,10.45.130.238,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.956238
dev:olt-xg01,OLT-XG-01,Calix,E7-2 XG801,olt,site:07,10.43.42.174,R26.1.0,True,False,0,[],10,10,ONLINE,2026-09-01T12:36:15.956304
spl:olt-xg01-0,SPL:OLT-XG01-0,Calix,E7-2,access,site:austin,10.54.52.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956475
spl:olt-xg01-1,SPL:OLT-XG01-1,Calix,E7-2,access,site:austin,10.54.53.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956549
spl:olt-xg01-2,SPL:OLT-XG01-2,Calix,E7-2,access,site:austin,10.54.54.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956603
spl:olt-xg01-3,SPL:OLT-XG01-3,Calix,E7-2,access,site:austin,10.54.55.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956662
dev:olt-xg02,OLT-XG-02,Calix,E7-2 XG801,olt,site:10,10.58.95.133,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.956715
spl:olt-xg02-0,SPL:OLT-XG02-0,Calix,E7-2,access,site:austin,10.54.57.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956764
spl:olt-xg02-1,SPL:OLT-XG02-1,Calix,E7-2,access,site:austin,10.54.58.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956793
spl:olt-xg02-2,SPL:OLT-XG02-2,Calix,E7-2,access,site:austin,10.54.59.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956826
spl:olt-xg02-3,SPL:OLT-XG02-3,Calix,E7-2,access,site:austin,10.54.60.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956848
dev:olt-xg03,OLT-XG-03,Calix,E7-2 XG801,olt,site:05,10.55.163.63,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.956867
spl:olt-xg03-0,SPL:OLT-XG03-0,Calix,E7-2,access,site:austin,10.54.62.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956898
spl:olt-xg03-1,SPL:OLT-XG03-1,Calix,E7-2,access,site:austin,10.54.63.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956918
spl:olt-xg03-2,SPL:OLT-XG03-2,Calix,E7-2,access,site:austin,10.54.64.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956937
spl:olt-xg03-3,SPL:OLT-XG03-3,Calix,E7-2,access,site:austin,10.54.65.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.956958
dev:olt-xg04,OLT-XG-04,Calix,E7-2 XG801,olt,site:08,10.53.193.117,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957049
spl:olt-xg04-0,SPL:OLT-XG04-0,Calix,E7-2,access,site:austin,10.54.67.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957088
spl:olt-xg04-1,SPL:OLT-XG04-1,Calix,E7-2,access,site:austin,10.54.68.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957109
spl:olt-xg04-2,SPL:OLT-XG04-2,Calix,E7-2,access,site:austin,10.54.69.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957135
spl:olt-xg04-3,SPL:OLT-XG04-3,Calix,E7-2,access,site:austin,10.54.70.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957155
dev:olt-xg05,OLT-XG-05,Calix,E7-2 XG801,olt,site:03,10.54.203.3,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957173
spl:olt-xg05-0,SPL:OLT-XG05-0,Calix,E7-2,access,site:austin,10.54.72.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957203
spl:olt-xg05-1,SPL:OLT-XG05-1,Calix,E7-2,access,site:austin,10.54.73.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957222
spl:olt-xg05-2,SPL:OLT-XG05-2,Calix,E7-2,access,site:austin,10.54.74.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957242
spl:olt-xg05-3,SPL:OLT-XG05-3,Calix,E7-2,access,site:austin,10.54.75.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957275
dev:olt-xg06,OLT-XG-06,Calix,E7-2 XG801,olt,site:06,10.48.219.181,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957294
spl:olt-xg06-0,SPL:OLT-XG06-0,Calix,E7-2,access,site:austin,10.54.77.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957323
spl:olt-xg06-1,SPL:OLT-XG06-1,Calix,E7-2,access,site:austin,10.54.78.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957347
spl:olt-xg06-2,SPL:OLT-XG06-2,Calix,E7-2,access,site:austin,10.54.79.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957371
spl:olt-xg06-3,SPL:OLT-XG06-3,Calix,E7-2,access,site:austin,10.54.80.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957390
dev:olt-xg07,OLT-XG-07,Calix,E7-2 XG801,olt,site:09,10.43.128.183,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957407
spl:olt-xg07-0,SPL:OLT-XG07-0,Calix,E7-2,access,site:austin,10.54.82.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957437
spl:olt-xg07-1,SPL:OLT-XG07-1,Calix,E7-2,access,site:austin,10.54.83.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957457
spl:olt-xg07-2,SPL:OLT-XG07-2,Calix,E7-2,access,site:austin,10.54.84.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957477
spl:olt-xg07-3,SPL:OLT-XG07-3,Calix,E7-2,access,site:austin,10.54.85.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957496
dev:olt-xg08,OLT-XG-08,Calix,E7-2 XG801,olt,site:04,10.52.110.12,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957513
spl:olt-xg08-0,SPL:OLT-XG08-0,Calix,E7-2,access,site:austin,10.54.87.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957543
spl:olt-xg08-1,SPL:OLT-XG08-1,Calix,E7-2,access,site:austin,10.54.88.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957567
spl:olt-xg08-2,SPL:OLT-XG08-2,Calix,E7-2,access,site:austin,10.54.89.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957632
spl:olt-xg08-3,SPL:OLT-XG08-3,Calix,E7-2,access,site:austin,10.54.90.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957670
dev:olt-xg09,OLT-XG-09,Calix,E7-2 XG801,olt,site:07,10.48.126.207,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957715
spl:olt-xg09-0,SPL:OLT-XG09-0,Calix,E7-2,access,site:austin,10.54.92.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957794
spl:olt-xg09-1,SPL:OLT-XG09-1,Calix,E7-2,access,site:austin,10.54.93.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957833
spl:olt-xg09-2,SPL:OLT-XG09-2,Calix,E7-2,access,site:austin,10.54.94.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957863
spl:olt-xg09-3,SPL:OLT-XG09-3,Calix,E7-2,access,site:austin,10.54.95.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957889
dev:olt-xg10,OLT-XG-10,Calix,E7-2 XG801,olt,site:10,10.44.228.100,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.957911
spl:olt-xg10-0,SPL:OLT-XG10-0,Calix,E7-2,access,site:austin,10.54.97.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.957952
spl:olt-xg10-1,SPL:OLT-XG10-1,Calix,E7-2,access,site:austin,10.54.98.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958018
spl:olt-xg10-2,SPL:OLT-XG10-2,Calix,E7-2,access,site:austin,10.54.99.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958048
spl:olt-xg10-3,SPL:OLT-XG10-3,Calix,E7-2,access,site:austin,10.54.100.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958069
dev:olt-xg11,OLT-XG-11,Calix,E7-2 XG801,olt,site:05,10.40.221.48,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.958087
spl:olt-xg11-0,SPL:OLT-XG11-0,Calix,E7-2,access,site:austin,10.54.102.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958116
spl:olt-xg11-1,SPL:OLT-XG11-1,Calix,E7-2,access,site:austin,10.54.103.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958136
spl:olt-xg11-2,SPL:OLT-XG11-2,Calix,E7-2,access,site:austin,10.54.104.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958160
spl:olt-xg11-3,SPL:OLT-XG11-3,Calix,E7-2,access,site:austin,10.54.105.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958216
dev:olt-xg12,OLT-XG-12,Calix,E7-2 XG801,olt,site:08,10.55.123.24,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.958247
spl:olt-xg12-0,SPL:OLT-XG12-0,Calix,E7-2,access,site:austin,10.54.107.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958280
spl:olt-xg12-1,SPL:OLT-XG12-1,Calix,E7-2,access,site:austin,10.54.108.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958301
spl:olt-xg12-2,SPL:OLT-XG12-2,Calix,E7-2,access,site:austin,10.54.109.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958330
spl:olt-xg12-3,SPL:OLT-XG12-3,Calix,E7-2,access,site:austin,10.54.110.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958353
dev:olt-xg13,OLT-XG-13,Calix,E7-2 XG801,olt,site:03,10.50.223.58,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.958370
spl:olt-xg13-0,SPL:OLT-XG13-0,Calix,E7-2,access,site:austin,10.54.112.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958400
spl:olt-xg13-1,SPL:OLT-XG13-1,Calix,E7-2,access,site:austin,10.54.113.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958419
spl:olt-xg13-2,SPL:OLT-XG13-2,Calix,E7-2,access,site:austin,10.54.114.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958449
spl:olt-xg13-3,SPL:OLT-XG13-3,Calix,E7-2,access,site:austin,10.54.115.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958499
dev:olt-xg14,OLT-XG-14,Calix,E7-2 XG801,olt,site:06,10.56.51.228,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.958540
spl:olt-xg14-0,SPL:OLT-XG14-0,Calix,E7-2,access,site:austin,10.54.117.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958640
spl:olt-xg14-1,SPL:OLT-XG14-1,Calix,E7-2,access,site:austin,10.54.118.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958679
spl:olt-xg14-2,SPL:OLT-XG14-2,Calix,E7-2,access,site:austin,10.54.119.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958710
spl:olt-xg14-3,SPL:OLT-XG14-3,Calix,E7-2,access,site:austin,10.54.120.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958737
dev:olt-xg15,OLT-XG-15,Calix,E7-2 XG801,olt,site:09,10.53.90.216,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.958830
spl:olt-xg15-0,SPL:OLT-XG15-0,Calix,E7-2,access,site:austin,10.54.122.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.958928
spl:olt-xg15-1,SPL:OLT-XG15-1,Calix,E7-2,access,site:austin,10.54.123.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959046
spl:olt-xg15-2,SPL:OLT-XG15-2,Calix,E7-2,access,site:austin,10.54.124.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959103
spl:olt-xg15-3,SPL:OLT-XG15-3,Calix,E7-2,access,site:austin,10.54.125.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959159
dev:olt-xg16,OLT-XG-16,Calix,E7-2 XG801,olt,site:04,10.59.38.59,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.959231
spl:olt-xg16-0,SPL:OLT-XG16-0,Calix,E7-2,access,site:austin,10.54.127.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959312
spl:olt-xg16-1,SPL:OLT-XG16-1,Calix,E7-2,access,site:austin,10.54.128.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959361
spl:olt-xg16-2,SPL:OLT-XG16-2,Calix,E7-2,access,site:austin,10.54.129.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959417
spl:olt-xg16-3,SPL:OLT-XG16-3,Calix,E7-2,access,site:austin,10.54.130.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959467
dev:olt-xg17,OLT-XG-17,Calix,E7-2 XG801,olt,site:07,10.55.167.182,R26.1.0,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.959507
spl:olt-xg17-0,SPL:OLT-XG17-0,Calix,E7-2,access,site:austin,10.54.132.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959649
spl:olt-xg17-1,SPL:OLT-XG17-1,Calix,E7-2,access,site:austin,10.54.133.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959742
spl:olt-xg17-2,SPL:OLT-XG17-2,Calix,E7-2,access,site:austin,10.54.134.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959787
spl:olt-xg17-3,SPL:OLT-XG17-3,Calix,E7-2,access,site:austin,10.54.135.1,22.4R3-S7.5,True,False,0,[],8,24,ONLINE,2026-09-01T12:36:15.959820
